Pair,Year,Cointegration Ratio
"['PYPL', 'TSLA']",2023,0.0897448724362181
"['AMZN', 'UBER']",2023,0.0897
"['GOOG', 'TSLA']",2023,0.0897
"['AMD', 'INTC']",2023,0.0897
"['RIVN', 'WBA']",2023,0.0896448224112056
"['RIVN', 'XOM']",2023,0.0896358543417367
"['C', 'WBA']",2023,0.0896
"['SNAP', 'XOM']",2023,0.0896
"['AMD', 'COIN']",2023,0.0895
"['AAPL', 'INTC']",2023,0.0895
"['CVX', 'RIOT']",2023,0.0894894894894895
"['RIOT', 'SQ']",2023,0.0894
"['JPM', 'SHOP']",2023,0.0894
"['BABA', 'RIOT']",2023,0.0894
"['PYPL', 'VZ']",2023,0.0894
"['CSCO', 'CVX']",2023,0.0894
"['AMZN', 'RIVN']",2023,0.0894
"['C', 'COIN']",2023,0.0893893893893894
"['NEE', 'SNAP']",2023,0.08932679803941182
"['AMZN', 'SHOP']",2023,0.0893
"['SQ', 'WFC']",2023,0.0893
"['CVX', 'PLTR']",2023,0.08928035231708538
"['SQ', 'TSLA']",2023,0.08922676803040912
"['PFE', 'T']",2023,0.0892
"['GOOG', 'WFC']",2023,0.0892
"['GOOG', 'XOM']",2023,0.0891
"['AMZN', 'CCL']",2023,0.089
"['AAPL', 'CSCO']",2023,0.0889
"['BAC', 'MU']",2023,0.0889
"['RIOT', 'UBER']",2023,0.0888
"['PYPL', 'SHOP']",2023,0.0888
"['AAPL', 'TSLA']",2023,0.0887
"['GOOG', 'WMT']",2023,0.0887
"['AMD', 'C']",2023,0.0887
"['INTC', 'WBA']",2023,0.0887
"['NEE', 'TSLA']",2023,0.08866599799398195
"['CSCO', 'PYPL']",2023,0.0886
"['AMD', 'BABA']",2023,0.0886
"['CVX', 'WBA']",2023,0.0886
"['PFE', 'XOM']",2023,0.0886
"['GOOG', 'PFE']",2023,0.0886
"['AAPL', 'WBA']",2023,0.08851770354070815
"['AAPL', 'WMT']",2023,0.08851770354070815
"['GOOG', 'NEE']",2023,0.0885088508850885
"['JPM', 'WMT']",2023,0.0885
"['GOOGL', 'PYPL']",2023,0.0885
"['BABA', 'NEE']",2023,0.08844422211105553
"['GOOGL', 'WBA']",2023,0.0884
"['MU', 'PFE']",2023,0.0884
"['AMD', 'CCL']",2023,0.0884
"['JPM', 'PYPL']",2023,0.0884
"['WBA', 'WFC']",2023,0.0884
"['INTC', 'NEE']",2023,0.08832649794938481
"['AAPL', 'AMZN']",2023,0.0883
"['AMZN', 'GOOGL']",2023,0.0883
"['C', 'MARA']",2023,0.08823234852278418
"['CCL', 'T']",2023,0.0882
"['AAPL', 'GOOG']",2023,0.0882
"['INTC', 'WMT']",2023,0.0882
"['INTC', 'TSLA']",2023,0.0882
"['BABA', 'JPM']",2023,0.08813525410164065
"['AMZN', 'WFC']",2023,0.08812643793137942
"['WFC', 'XOM']",2023,0.0881
"['CVX', 'WMT']",2023,0.0881
"['MU', 'WFC']",2023,0.0881
"['PFE', 'SNAP']",2023,0.0881
"['SQ', 'XOM']",2023,0.0881
"['AMD', 'MU']",2023,0.08801760352070415
"['AAPL', 'F']",2023,0.088
"['CVX', 'MU']",2023,0.088
"['NEE', 'WBA']",2023,0.088
"['AAPL', 'JPM']",2023,0.08792637791337402
"['C', 'NEE']",2023,0.0879
"['COIN', 'RIVN']",2023,0.0879
"['MU', 'XOM']",2023,0.0879
"['CVX', 'SQ']",2023,0.0878
"['MU', 'TSLA']",2023,0.08777900110099089
"['COIN', 'MU']",2023,0.08772631789536861
"['SHOP', 'TSLA']",2023,0.08770877087708771
"['NEE', 'SQ']",2023,0.0877
"['NEE', 'UBER']",2023,0.0877
"['BABA', 'SHOP']",2023,0.0877
"['AAPL', 'PFE']",2023,0.0876
"['JPM', 'TSLA']",2023,0.0875400641025641
"['AMZN', 'C']",2023,0.08753501400560224
"['AMZN', 'CSCO']",2023,0.08750875087508751
"['BABA', 'PFE']",2023,0.0875
"['AAPL', 'VZ']",2023,0.0875
"['COIN', 'INTC']",2023,0.0875
"['PYPL', 'WBA']",2023,0.0874
"['AMZN', 'TSLA']",2023,0.0874
"['AAPL', 'RIVN']",2023,0.0874
